state,votes,Biden,Trump,diff,undecided,lean_score,limit_lean_score,est_biden,est_trump,pct_biden,pct_trump,result,cumulative_votes,trump_votes_away,votes_away_magnitude,importance,tipping_rank,importance_2
Arizona,11,51.94961890023113,45.77585237557346,6.1737665246576725,2.27452872419542,1.8853908591608461,1.8853908591608461,15.869649725384654,-4.869649725384654,1.442695429580423,-0.44269542958042307,likely biden,301,32,32,0.34375,5,2.2
Maine,4,54.58153593217961,41.63246338264532,12.949072549534293,3.7860006851750683,2.7056144370486286,2.7056144370486286,7.411228874097257,-3.411228874097257,1.8528072185243143,-0.8528072185243143,safe biden,305,36,36,0.1111111111111111,6,0.6666666666666666
Wisconsin,10,54.07353032883525,43.47537171084064,10.598158617994606,2.4510979603241196,3.070952705439648,3.070952705439648,20.35476352719824,-10.35476352719824,2.035476352719824,-1.035476352719824,safe biden,315,46,46,0.21739130434782608,7,1.4285714285714286
Minnesota,10,54.94872213091982,42.027309327267616,12.921412803652203,3.0239685418125646,3.2111117841472625,3.2111117841472625,21.055558920736313,-11.055558920736313,2.1055558920736313,-1.1055558920736313,safe biden,325,56,56,0.17857142857142858,10,1.0
New Hampshire,4,53.98677303997712,44.34035744625329,9.64641559372383,1.6728695137695837,3.609011043759993,3.609011043759993,9.218022087519987,-5.218022087519986,2.304505521879997,-1.3045055218799968,safe biden,329,60,60,0.06666666666666667,11,0.36363636363636365
New Mexico,5,55.23835919847625,42.771685153385626,12.466674045090627,1.989955648138121,4.169518050494751,4.169518050494751,12.923795126236877,-7.923795126236877,2.5847590252473753,-1.5847590252473753,safe biden,334,65,65,0.07692307692307693,12,0.4166666666666667
Virginia,13,56.605222927703366,40.61633214627421,15.988890781429156,2.7784449260224164,4.231606148686339,4.231606148686339,34.0054399664612,-21.005439966461203,2.6158030743431695,-1.6158030743431695,safe biden,347,78,78,0.16666666666666666,13,1.0
Illinois,20,57.83649456030955,39.52442416021646,18.31207040009309,2.6390812794739844,5.032058641663545,5.032058641663545,60.32058641663545,-40.32058641663545,3.0160293208317723,-2.0160293208317723,safe biden,367,98,98,0.20408163265306123,16,1.25
Colorado,9,56.5151200808101,41.65151735792085,14.863602722889247,1.8333625612690412,5.245923316016413,5.245923316016413,28.10665492207386,-19.10665492207386,3.1229616580082067,-2.1229616580082067,safe biden,376,107,107,0.08411214953271028,17,0.5294117647058824
New Jersey,14,59.320824513013314,37.71081603253796,21.61000848047535,2.9683594544487164,5.4455773799043135,5.4455773799043135,45.11904165933019,-31.119041659330193,3.2227886899521567,-2.2227886899521567,safe biden,390,121,121,0.11570247933884298,18,0.7777777777777778
Oregon,7,59.251082705866445,38.84150149598481,20.409581209881637,1.9074157981487474,7.019835698381059,7.019835698381059,28.069424944333704,-21.069424944333708,4.009917849190529,-3.009917849190529,safe biden,397,128,128,0.0546875,20,0.35
Washington,12,61.782729380953704,35.5137753088058,26.268954072147906,2.7034953102404984,7.093016696824721,7.093016696824721,48.55810018094833,-36.55810018094833,4.0465083484123605,-3.0465083484123605,safe biden,409,140,140,0.08571428571428572,21,0.5714285714285714
New York,29,62.85542662447323,34.2434146996086,28.612011924864632,2.9011586759181682,7.334234339527492,7.334234339527492,120.84639792314861,-91.84639792314863,4.1671171697637455,-3.1671171697637455,safe biden,438,169,169,0.17159763313609466,26,1.1153846153846154
California,55,61.970190988117196,35.65812640151853,26.312064586598666,2.3716826103642745,7.803837913366325,7.803837913366325,242.10554261757397,-187.10554261757395,4.401918956683163,-3.401918956683163,safe biden,493,224,224,0.24553571428571427,35,1.5714285714285714
Hawaii,4,65.23703967764192,31.72351972738111,33.51351995026081,3.0394405949769805,8.296574528645046,8.296574528645046,18.59314905729009,-14.593149057290091,4.648287264322523,-3.648287264322523,safe biden,497,228,228,0.017543859649122806,36,0.1111111111111111
Connecticut,7,61.01047245168412,37.17495420247169,23.835518249212434,1.8145733458441953,8.468607963052843,8.468607963052843,33.14012787068495,-26.14012787068495,4.734303981526422,-3.7343039815264216,safe biden,504,235,235,0.029787234042553193,39,0.1794871794871795
Delaware,3,61.065265153678766,37.239583232342454,23.82568192133631,1.69515161397878,8.840200973392772,8.840200973392772,14.760301460089158,-11.760301460089158,4.920100486696386,-3.920100486696386,safe biden,507,238,238,0.012605042016806723,41,0.07317073170731707
Maryland,10,66.33680621552433,30.67443947422678,35.662366741297554,2.988754310248879,8.940727848206924,8.940727848206924,49.70363924103462,-39.70363924103462,4.970363924103462,-3.970363924103462,safe biden,517,248,248,0.04032258064516129,43,0.23255813953488372
Rhode Island,4,62.990980282957764,35.032202430896554,27.95877785206121,1.976817286145689,9.392171290520004,9.392171290520004,20.784342581040008,-16.784342581040008,5.196085645260002,-4.196085645260002,safe biden,521,252,252,0.015873015873015872,45,0.08888888888888889
Vermont,3,69.30714650750586,27.6679696669363,41.63917684056956,3.0248838255578363,10.345435705786738,10.345435705786738,17.018153558680105,-14.018153558680106,5.672717852893369,-4.672717852893369,safe biden,524,255,255,0.011764705882352941,47,0.06382978723404255
Massachusetts,11,68.52119896816777,28.87671514931191,39.64448381885586,2.6020858825203277,11.005979621762151,11.005979621762151,66.03288791969183,-55.03288791969183,6.0029898108810755,-5.0029898108810755,safe biden,535,266,266,0.041353383458646614,50,0.22
District of Columbia,3,91.84051467814254,6.490925595164208,85.34958908297833,1.6685597266932461,31.983390976502342,31.983390976502342,49.47508646475352,-46.47508646475352,16.49169548825117,-15.491695488251171,safe biden,538,269,269,0.011152416356877323,51,0.058823529411764705
